,name,sequence,view,x,y,name2
1,LM,1,flatmap,17.447821226188548,23.68227208453491,LM
2,LM,0,flatmap,17.46010486445102,23.67289242182531,LM
3,LM,0,flatmap,17.522685036890714,23.62532477928948,LM
4,LM,0,flatmap,17.587230253642375,23.57653028539177,LM
5,LM,0,flatmap,17.653366843966772,23.52684995995397,LM
6,LM,0,flatmap,17.72072113712472,23.47662482279791,LM
7,LM,0,flatmap,17.78891946237698,23.42619589374539,LM
8,LM,0,flatmap,17.857588148984355,23.37590419261822,LM
9,LM,0,flatmap,17.926353526207627,23.32609073923821,LM
10,LM,0,flatmap,17.994841923307593,23.27709655342718,LM
11,LM,0,flatmap,18.062679669545027,23.22926265500695,LM
12,LM,0,flatmap,18.129493094180727,23.182930063799304,LM
13,LM,0,flatmap,18.19490852647548,23.138439799626077,LM
14,LM,0,flatmap,18.258552295690066,23.096132882309075,LM
15,LM,0,flatmap,18.32005073108528,23.056350331670107,LM
16,LM,0,flatmap,18.37903016192191,23.019433167530977,LM
17,LM,0,flatmap,18.435116917460746,22.985722409713503,LM
18,LM,0,flatmap,18.48793732696256,22.9555590780395,LM
19,LM,0,flatmap,18.537117719688162,22.929284192330776,LM
20,LM,0,flatmap,18.58228442489833,22.907238772409144,LM
21,LM,0,flatmap,18.623063771853854,22.88976383809641,LM
22,LM,0,flatmap,18.659082089815517,22.877200409214396,LM
23,LM,0,flatmap,18.68296492802819,22.870089819420446,LM
24,LM,0,flatmap,18.706452223698648,22.86312609995965,LM
25,LM,0,flatmap,18.729553180230727,22.856314072035858,LM
26,LM,0,flatmap,18.75227700102828,22.84965855685299,LM
27,LM,0,flatmap,18.774632889495145,22.84316437561492,LM
28,LM,0,flatmap,18.796630049035187,22.83683634952555,LM
29,LM,0,flatmap,18.81886643712444,22.83051402851697,LM
30,LM,0,flatmap,18.785479944967737,22.783222210463205,LM
31,LM,0,flatmap,18.758600753362114,22.745147954777387,LM
32,LM,0,flatmap,18.730957224554444,22.70926185931232,LM
33,LM,0,flatmap,18.702666948883493,22.67550093484321,LM
34,LM,0,flatmap,18.67384751668804,22.643802192145248,LM
35,LM,0,flatmap,18.644616518306872,22.614102641993615,LM
36,LM,0,flatmap,18.61509154407875,22.58633929516353,LM
37,LM,0,flatmap,18.585390184342465,22.56044916243017,LM
38,LM,0,flatmap,18.57974438866135,22.555880965784674,LM
39,LM,0,flatmap,18.555630029436788,22.53636925456873,LM
